objectid,filename,title,creator,date,source,identifier,type,format,,
football-1988,http://archives.nd.edu/Football/Football-1988.pdf,Notre Dame Football Review - 1988,University of Notre Dame Archives,1988,http://archives.nd.edu/Football/Football-1988.pdf,football-1988,newspaper,application/pdf,,
football-1988s,http://archives.nd.edu/Football/Football-1988s.pdf,Notre Dame Scholastic Football Review - 1988,University of Notre Dame Archives,1988,http://archives.nd.edu/Football/Football-1988s.pdf,football-1988s,newspaper,application/pdf,,
football-1989s,http://archives.nd.edu/Football/Football-1989s.pdf,Notre Dame Scholastic Football Review - 1989,University of Notre Dame Archives,1989,http://archives.nd.edu/Football/Football-1989s.pdf,football-1989s,newspaper,application/pdf,,
football-1990s,http://archives.nd.edu/Football/Football-1990s.pdf,Notre Dame Scholastic Football Review - 1990,University of Notre Dame Archives,1990,http://archives.nd.edu/Football/Football-1990s.pdf,football-1990s,newspaper,application/pdf,,
football-1991s,http://archives.nd.edu/Football/Football-1991s.pdf,Notre Dame Scholastic Football Review - 1991,University of Notre Dame Archives,1991,http://archives.nd.edu/Football/Football-1991s.pdf,football-1991s,newspaper,application/pdf,,
football-1992s,http://archives.nd.edu/Football/Football-1992s.pdf,Notre Dame Scholastic Football Review - 1992,University of Notre Dame Archives,1992,http://archives.nd.edu/Football/Football-1992s.pdf,football-1992s,newspaper,application/pdf,,
football-1993s,http://archives.nd.edu/Football/Football-1993s.pdf,Notre Dame Scholastic Football Review - 1993,University of Notre Dame Archives,1993,http://archives.nd.edu/Football/Football-1993s.pdf,football-1993s,newspaper,application/pdf,,
football-1994s,http://archives.nd.edu/Football/Football-1994s.pdf,Notre Dame Scholastic Football Review - 1994,University of Notre Dame Archives,1994,http://archives.nd.edu/Football/Football-1994s.pdf,football-1994s,newspaper,application/pdf,,
football-1995s,http://archives.nd.edu/Football/Football-1995s.pdf,Notre Dame Scholastic Football Review - 1995,University of Notre Dame Archives,1995,http://archives.nd.edu/Football/Football-1995s.pdf,football-1995s,newspaper,application/pdf,,
football-1996s,http://archives.nd.edu/Football/Football-1996s.pdf,Notre Dame Scholastic Football Review - 1996,University of Notre Dame Archives,1996,http://archives.nd.edu/Football/Football-1996s.pdf,football-1996s,newspaper,application/pdf,,
football-1997s,http://archives.nd.edu/Football/Football-1997s.pdf,Notre Dame Scholastic Football Review - 1997,University of Notre Dame Archives,1997,http://archives.nd.edu/Football/Football-1997s.pdf,football-1997s,newspaper,application/pdf,,
football-1998s,http://archives.nd.edu/Football/Football-1998s.pdf,Notre Dame Scholastic Football Review - 1998,University of Notre Dame Archives,1998,http://archives.nd.edu/Football/Football-1998s.pdf,football-1998s,newspaper,application/pdf,,
football-1999s,http://archives.nd.edu/Football/Football-1999s.pdf,Notre Dame Scholastic Football Review - 1999,University of Notre Dame Archives,1999,http://archives.nd.edu/Football/Football-1999s.pdf,football-1999s,newspaper,application/pdf,,
football-2000s,http://archives.nd.edu/Football/Football-2000s.pdf,Notre Dame Football Review - 2000,University of Notre Dame Archives,2000,http://archives.nd.edu/Football/Football-2000s.pdf,football-2000s,newspaper,application/pdf,,
football-2001s,http://archives.nd.edu/Football/Football-2001s.pdf,Notre Dame Football Review - 2001,University of Notre Dame Archives,2001,http://archives.nd.edu/Football/Football-2001s.pdf,football-2001s,newspaper,application/pdf,,
football-2002s,http://archives.nd.edu/Football/Football-2002s.pdf,Notre Dame Football Review - 2002,University of Notre Dame Archives,2002,http://archives.nd.edu/Football/Football-2002s.pdf,football-2002s,newspaper,application/pdf,,
football-2003s,http://archives.nd.edu/Football/Football-2003s.pdf,Notre Dame Football Review - 2003,University of Notre Dame Archives,2003,http://archives.nd.edu/Football/Football-2003s.pdf,football-2003s,newspaper,application/pdf,,
football-2004s,http://archives.nd.edu/Football/Football-2004s.pdf,Notre Dame Football Review - 2004,University of Notre Dame Archives,2004,http://archives.nd.edu/Football/Football-2004s.pdf,football-2004s,newspaper,application/pdf,,
football-2005s,http://archives.nd.edu/Football/Football-2005s.pdf,Notre Dame Football Review - 2005,University of Notre Dame Archives,2005,http://archives.nd.edu/Football/Football-2005s.pdf,football-2005s,newspaper,application/pdf,,
football-2006s,http://archives.nd.edu/Football/Football-2006s.pdf,Notre Dame Football Review - 2006,University of Notre Dame Archives,2006,http://archives.nd.edu/Football/Football-2006s.pdf,football-2006s,newspaper,application/pdf,,
football-2007s,http://archives.nd.edu/Football/Football-2007s.pdf,Notre Dame Football Review - 2007,University of Notre Dame Archives,2007,http://archives.nd.edu/Football/Football-2007s.pdf,football-2007s,newspaper,application/pdf,,
football-2008s,http://archives.nd.edu/Football/Football-2008s.pdf,Notre Dame Football Review - 2008,University of Notre Dame Archives,2008,http://archives.nd.edu/Football/Football-2008s.pdf,football-2008s,newspaper,application/pdf,,
football-2010s,http://archives.nd.edu/Football/Football-2010s.pdf,Notre Dame Football Review - 2010,University of Notre Dame Archives,2010,http://archives.nd.edu/Football/Football-2010s.pdf,football-2010s,newspaper,application/pdf,,
cover-001,1920_review.jpeg,1920 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1920,http://archives.nd.edu/Football/Football-1920.pdf,cover_1920,Image;StillImage,image/jpeg,,
cover-002,1924_review.jpeg,1924 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1924,http://archives.nd.edu/Football/Football-1924.pdf,cover_1924,Image;StillImage,image/jpeg,,
cover-003,1931_review.jpg,1931 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1932,http://archives.nd.edu/Football/Football-1932.pdf,cover_1931,Image;StillImage,image/jpg,,
cover-004,1943_review.png,1943 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1943,http://archives.nd.edu/Football/Football-1943s.pdf,cover_1943,Image;StillImage,image/png,,
cover-005,1953_review.jpeg,1953 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1953,http://archives.nd.edu/Football/Football-1953s.pdf,cover_1953,Image;StillImage,image/jpeg,,
cover-006,1962_review.jpeg,1962 Nore Dame Scholastic Football Review Cover,University of Notre Dame Archives,1962,http://archives.nd.edu/Football/Football-1962s.pdf,cover_1962,Image;StillImage,image/jpeg,,
